time_ps,rg_nm
0.000,1.498563
10.000,1.518948
20.000,1.522971
30.000,1.520507
40.000,1.527118
50.000,1.525008
60.000,1.535021
70.000,1.529778
80.000,1.518623
90.000,1.517272
100.000,1.519543
110.000,1.517493
120.000,1.522668
130.000,1.518416
140.000,1.513582
150.000,1.520731
160.000,1.512042
170.000,1.529489
180.000,1.520747
190.000,1.515792
200.000,1.527566
210.000,1.524413
220.000,1.529859
230.000,1.541023
240.000,1.528881
250.000,1.523779
260.000,1.533073
270.000,1.517944
280.000,1.529170
290.000,1.529494
300.000,1.521091
310.000,1.514637
320.000,1.517463
330.000,1.538675
340.000,1.525502
350.000,1.517176
360.000,1.526563
370.000,1.528588
380.000,1.527825
390.000,1.514914
400.000,1.530499
410.000,1.514778
420.000,1.521656
430.000,1.529821
440.000,1.527920
450.000,1.518318
460.000,1.529185
470.000,1.527976
480.000,1.530942
490.000,1.536721
500.000,1.525983
510.000,1.531951
520.000,1.519769
530.000,1.522862
540.000,1.520662
550.000,1.521613
560.000,1.528821
570.000,1.523864
580.000,1.529241
590.000,1.533530
600.000,1.525224
610.000,1.521314
620.000,1.521740
630.000,1.519587
640.000,1.521071
650.000,1.512976
660.000,1.517724
670.000,1.517212
680.000,1.520091
690.000,1.510181
700.000,1.515390
710.000,1.512876
720.000,1.514499
730.000,1.511351
740.000,1.508086
750.000,1.507350
760.000,1.506319
770.000,1.512355
780.000,1.517767
790.000,1.511943
800.000,1.508201
810.000,1.519205
820.000,1.510903
830.000,1.505537
840.000,1.503800
850.000,1.504323
860.000,1.508520
870.000,1.498737
880.000,1.517314
890.000,1.505066
900.000,1.505745
910.000,1.507636
920.000,1.504626
930.000,1.510258
940.000,1.513373
950.000,1.506793
960.000,1.509154
970.000,1.501807
980.000,1.507424
990.000,1.508157
1000.000,1.506035
1010.000,1.498894
1020.000,1.502719
1030.000,1.501850
1040.000,1.505484
1050.000,1.506250
1060.000,1.507212
1070.000,1.512340
1080.000,1.509227
1090.000,1.510325
1100.000,1.511809
1110.000,1.501191
1120.000,1.509203
1130.000,1.510509
1140.000,1.520352
1150.000,1.516149
1160.000,1.511824
1170.000,1.510814
1180.000,1.516686
1190.000,1.512941
1200.000,1.507438
1210.000,1.504045
1220.000,1.516751
1230.000,1.519759
1240.000,1.515460
1250.000,1.517212
1260.000,1.517860
1270.000,1.507546
1280.000,1.510587
1290.000,1.515687
1300.000,1.519204
1310.000,1.514263
1320.000,1.512613
1330.000,1.508581
1340.000,1.511327
1350.000,1.507477
1360.000,1.513415
1370.000,1.513932
1380.000,1.511762
1390.000,1.508802
1400.000,1.510504
1410.000,1.504180
1420.000,1.510324
1430.000,1.510210
1440.000,1.510612
1450.000,1.506362
1460.000,1.504166
1470.000,1.507004
1480.000,1.503647
1490.000,1.510777
1500.000,1.509181
1510.000,1.516231
1520.000,1.506951
1530.000,1.503133
1540.000,1.498829
1550.000,1.510557
1560.000,1.509048
1570.000,1.500356
1580.000,1.507829
1590.000,1.502234
1600.000,1.508149
1610.000,1.510757
1620.000,1.512775
1630.000,1.516513
1640.000,1.522565
1650.000,1.510686
1660.000,1.505668
1670.000,1.509655
1680.000,1.509032
1690.000,1.503507
1700.000,1.498585
1710.000,1.513326
1720.000,1.503333
1730.000,1.513558
1740.000,1.514040
1750.000,1.505493
1760.000,1.506679
1770.000,1.510167
1780.000,1.504601
1790.000,1.511509
1800.000,1.518026
1810.000,1.513202
1820.000,1.506427
1830.000,1.507613
1840.000,1.516903
1850.000,1.515698
1860.000,1.507318
1870.000,1.499625
1880.000,1.519341
1890.000,1.512971
1900.000,1.512898
1910.000,1.516874
1920.000,1.522543
1930.000,1.515186
1940.000,1.518857
1950.000,1.509332
1960.000,1.507620
1970.000,1.512813
1980.000,1.503728
1990.000,1.513457
2000.000,1.512743
2010.000,1.520569
2020.000,1.515838
2030.000,1.513814
2040.000,1.516648
2050.000,1.525658
2060.000,1.514809
2070.000,1.523047
2080.000,1.516958
2090.000,1.521015
2100.000,1.516493
2110.000,1.510703
2120.000,1.508685
2130.000,1.514475
2140.000,1.518330
2150.000,1.502692
2160.000,1.506518
2170.000,1.503178
2180.000,1.500457
2190.000,1.504606
2200.000,1.512947
2210.000,1.501116
2220.000,1.502172
2230.000,1.504875
2240.000,1.503126
2250.000,1.508835
2260.000,1.508970
2270.000,1.507252
2280.000,1.499150
2290.000,1.504210
2300.000,1.510274
2310.000,1.515404
2320.000,1.509639
2330.000,1.505820
2340.000,1.513360
2350.000,1.507666
2360.000,1.515771
2370.000,1.506405
2380.000,1.514328
2390.000,1.506214
2400.000,1.510615
2410.000,1.509648
2420.000,1.506650
2430.000,1.504752
2440.000,1.505577
2450.000,1.503101
2460.000,1.507133
2470.000,1.508093
2480.000,1.515302
2490.000,1.508943
2500.000,1.504510
2510.000,1.504257
2520.000,1.509049
2530.000,1.506038
2540.000,1.507329
2550.000,1.510882
2560.000,1.504389
2570.000,1.516328
2580.000,1.526918
2590.000,1.515144
2600.000,1.515801
2610.000,1.511713
2620.000,1.504428
2630.000,1.509820
2640.000,1.505554
2650.000,1.507691
2660.000,1.504680
2670.000,1.509086
2680.000,1.508970
2690.000,1.507657
2700.000,1.504388
2710.000,1.506050
2720.000,1.506270
2730.000,1.510827
2740.000,1.513387
2750.000,1.510023
2760.000,1.507254
2770.000,1.509043
2780.000,1.503657
2790.000,1.508771
2800.000,1.513264
2810.000,1.506484
2820.000,1.514646
2830.000,1.515711
2840.000,1.502941
2850.000,1.514528
2860.000,1.520603
2870.000,1.510733
2880.000,1.509055
2890.000,1.514778
2900.000,1.516033
2910.000,1.511237
2920.000,1.508179
2930.000,1.507561
2940.000,1.513454
2950.000,1.513267
2960.000,1.515361
2970.000,1.512107
2980.000,1.511905
2990.000,1.509373
3000.000,1.514738
3010.000,1.512307
3020.000,1.517493
3030.000,1.525685
3040.000,1.522401
3050.000,1.524301
3060.000,1.524761
3070.000,1.529268
3080.000,1.512329
3090.000,1.513305
3100.000,1.518014
3110.000,1.515602
3120.000,1.511863
3130.000,1.520522
3140.000,1.521253
3150.000,1.523638
3160.000,1.521109
3170.000,1.513806
3180.000,1.521586
3190.000,1.515788
3200.000,1.513684
3210.000,1.514897
3220.000,1.514086
3230.000,1.517126
3240.000,1.520136
3250.000,1.526118
3260.000,1.518880
3270.000,1.516789
3280.000,1.508818
3290.000,1.516208
3300.000,1.529044
3310.000,1.520172
3320.000,1.525512
3330.000,1.528914
3340.000,1.524325
3350.000,1.514933
3360.000,1.518686
3370.000,1.517964
3380.000,1.517528
3390.000,1.508645
3400.000,1.508514
3410.000,1.508228
3420.000,1.512161
3430.000,1.509451
3440.000,1.516537
3450.000,1.518018
3460.000,1.513099
3470.000,1.508679
3480.000,1.507919
3490.000,1.511979
3500.000,1.516019
3510.000,1.508387
3520.000,1.508544
3530.000,1.509798
3540.000,1.507910
3550.000,1.515359
3560.000,1.514284
3570.000,1.502498
3580.000,1.508702
3590.000,1.509552
3600.000,1.511492
3610.000,1.511582
3620.000,1.514978
3630.000,1.510611
3640.000,1.513249
3650.000,1.514789
3660.000,1.518179
3670.000,1.501658
3680.000,1.506937
3690.000,1.514399
3700.000,1.508516
3710.000,1.509871
3720.000,1.510932
3730.000,1.502110
3740.000,1.512531
3750.000,1.518211
3760.000,1.515651
3770.000,1.518035
3780.000,1.513010
3790.000,1.511946
3800.000,1.517617
3810.000,1.518279
3820.000,1.512853
3830.000,1.510489
3840.000,1.516983
3850.000,1.513817
3860.000,1.523612
3870.000,1.529984
3880.000,1.516649
3890.000,1.516892
3900.000,1.527731
3910.000,1.522365
3920.000,1.520310
3930.000,1.510138
3940.000,1.517777
3950.000,1.513621
3960.000,1.515970
3970.000,1.522219
3980.000,1.520717
3990.000,1.518944
4000.000,1.517754
4010.000,1.518195
4020.000,1.525079
4030.000,1.516524
4040.000,1.514830
4050.000,1.514439
4060.000,1.509225
4070.000,1.512184
4080.000,1.509522
4090.000,1.510536
4100.000,1.514376
4110.000,1.514044
4120.000,1.523927
4130.000,1.514357
4140.000,1.508884
4150.000,1.501688
4160.000,1.508020
4170.000,1.509445
4180.000,1.513992
4190.000,1.513468
4200.000,1.517444
4210.000,1.518027
4220.000,1.510321
4230.000,1.514064
4240.000,1.509749
4250.000,1.516012
4260.000,1.515546
4270.000,1.522526
4280.000,1.518367
4290.000,1.506720
4300.000,1.509391
4310.000,1.506986
4320.000,1.510368
4330.000,1.520592
4340.000,1.519166
4350.000,1.522897
4360.000,1.515169
4370.000,1.511185
4380.000,1.515469
4390.000,1.506756
4400.000,1.509511
4410.000,1.503837
4420.000,1.509223
4430.000,1.514955
4440.000,1.515007
4450.000,1.514306
4460.000,1.507337
4470.000,1.513299
4480.000,1.516465
4490.000,1.509107
4500.000,1.503560
4510.000,1.509735
4520.000,1.507437
4530.000,1.511874
4540.000,1.502527
4550.000,1.510740
4560.000,1.512721
4570.000,1.514597
4580.000,1.514273
4590.000,1.511770
4600.000,1.514735
4610.000,1.511883
4620.000,1.506614
4630.000,1.513923
4640.000,1.518495
4650.000,1.518070
4660.000,1.513808
4670.000,1.513117
4680.000,1.514874
4690.000,1.511374
4700.000,1.516250
4710.000,1.520269
4720.000,1.524488
4730.000,1.515607
4740.000,1.514403
4750.000,1.515844
4760.000,1.516392
4770.000,1.529678
4780.000,1.516827
4790.000,1.514159
4800.000,1.524044
4810.000,1.512301
4820.000,1.510478
4830.000,1.501581
4840.000,1.506569
4850.000,1.504481
4860.000,1.506869
4870.000,1.514868
4880.000,1.509242
4890.000,1.513852
4900.000,1.510200
4910.000,1.510227
4920.000,1.508467
4930.000,1.503482
4940.000,1.516852
4950.000,1.522606
4960.000,1.512205
4970.000,1.509175
4980.000,1.511833
4990.000,1.511167
5000.000,1.512294
5010.000,1.502096
5020.000,1.500639
5030.000,1.516487
5040.000,1.510243
5050.000,1.512566
5060.000,1.510789
5070.000,1.518362
5080.000,1.508909
5090.000,1.507019
5100.000,1.505005
5110.000,1.511763
5120.000,1.517830
5130.000,1.511033
5140.000,1.513280
5150.000,1.508736
5160.000,1.506084
5170.000,1.514112
5180.000,1.509060
5190.000,1.513116
5200.000,1.507776
5210.000,1.504693
5220.000,1.509739
5230.000,1.513412
5240.000,1.509037
5250.000,1.511433
5260.000,1.517164
5270.000,1.506093
5280.000,1.514652
5290.000,1.512904
5300.000,1.511191
5310.000,1.509977
5320.000,1.515162
5330.000,1.511297
5340.000,1.503510
5350.000,1.511978
5360.000,1.511169
5370.000,1.512108
5380.000,1.518213
5390.000,1.506176
5400.000,1.501365
5410.000,1.511461
5420.000,1.505761
5430.000,1.503285
5440.000,1.507105
5450.000,1.495870
5460.000,1.509145
5470.000,1.514241
5480.000,1.512298
5490.000,1.507433
5500.000,1.516905
5510.000,1.503454
5520.000,1.509983
5530.000,1.510665
5540.000,1.508271
5550.000,1.504115
5560.000,1.509968
5570.000,1.514752
5580.000,1.508843
5590.000,1.506739
5600.000,1.499805
5610.000,1.500371
5620.000,1.499292
5630.000,1.503983
5640.000,1.506512
5650.000,1.507681
5660.000,1.510868
5670.000,1.512596
5680.000,1.506165
5690.000,1.513340
5700.000,1.502721
5710.000,1.508337
5720.000,1.508513
5730.000,1.511969
5740.000,1.509457
5750.000,1.505844
5760.000,1.512589
5770.000,1.505837
5780.000,1.511393
5790.000,1.508350
5800.000,1.507263
5810.000,1.506523
5820.000,1.505371
5830.000,1.512839
5840.000,1.507141
5850.000,1.506101
5860.000,1.507242
5870.000,1.515249
5880.000,1.506285
5890.000,1.508098
5900.000,1.501140
5910.000,1.507855
5920.000,1.507884
5930.000,1.509127
5940.000,1.510894
5950.000,1.502798
5960.000,1.510865
5970.000,1.508150
5980.000,1.508400
5990.000,1.503855
6000.000,1.502753
6010.000,1.505839
6020.000,1.513300
6030.000,1.509900
6040.000,1.511722
6050.000,1.511446
6060.000,1.500652
6070.000,1.512352
6080.000,1.508732
6090.000,1.509439
6100.000,1.503059
6110.000,1.501653
6120.000,1.509350
6130.000,1.510290
6140.000,1.504385
6150.000,1.516915
6160.000,1.506514
6170.000,1.506809
6180.000,1.503198
6190.000,1.500242
6200.000,1.507633
6210.000,1.515414
6220.000,1.503062
6230.000,1.504294
6240.000,1.519440
6250.000,1.511596
6260.000,1.514302
6270.000,1.516361
6280.000,1.507396
6290.000,1.514707
6300.000,1.509865
6310.000,1.511147
6320.000,1.511535
6330.000,1.510734
6340.000,1.502507
6350.000,1.518180
6360.000,1.518671
6370.000,1.510069
6380.000,1.504247
6390.000,1.510908
6400.000,1.510211
6410.000,1.515906
6420.000,1.503861
6430.000,1.509515
6440.000,1.513125
6450.000,1.515078
6460.000,1.508763
6470.000,1.504360
6480.000,1.509598
6490.000,1.512541
6500.000,1.516449
6510.000,1.508979
6520.000,1.514323
6530.000,1.516386
6540.000,1.509485
6550.000,1.504625
6560.000,1.510682
6570.000,1.510401
6580.000,1.511625
6590.000,1.502820
6600.000,1.508073
6610.000,1.507951
6620.000,1.502874
6630.000,1.508447
6640.000,1.509938
6650.000,1.507687
6660.000,1.505773
6670.000,1.516161
6680.000,1.515142
6690.000,1.523281
6700.000,1.512270
6710.000,1.514010
6720.000,1.518796
6730.000,1.519050
6740.000,1.516151
6750.000,1.512516
6760.000,1.503360
6770.000,1.509678
6780.000,1.513812
6790.000,1.512752
6800.000,1.512669
6810.000,1.521112
6820.000,1.517453
6830.000,1.506018
6840.000,1.514087
6850.000,1.510398
6860.000,1.510482
6870.000,1.509249
6880.000,1.510265
6890.000,1.513151
6900.000,1.507812
6910.000,1.509740
6920.000,1.505302
6930.000,1.509657
6940.000,1.506669
6950.000,1.502916
6960.000,1.501922
6970.000,1.510277
6980.000,1.512664
6990.000,1.507739
7000.000,1.509396
7010.000,1.516638
7020.000,1.509612
7030.000,1.513677
7040.000,1.505931
7050.000,1.514009
7060.000,1.514771
7070.000,1.514333
7080.000,1.503582
7090.000,1.519210
7100.000,1.514571
7110.000,1.516408
7120.000,1.505398
7130.000,1.515605
7140.000,1.504566
7150.000,1.504599
7160.000,1.514964
7170.000,1.518295
7180.000,1.521289
7190.000,1.511072
7200.000,1.504677
7210.000,1.508329
7220.000,1.515226
7230.000,1.516944
7240.000,1.516975
7250.000,1.511288
7260.000,1.509947
7270.000,1.510755
7280.000,1.516504
7290.000,1.512496
7300.000,1.511131
7310.000,1.513375
7320.000,1.511449
7330.000,1.519110
7340.000,1.514509
7350.000,1.511087
7360.000,1.510647
7370.000,1.509934
7380.000,1.503411
7390.000,1.508375
7400.000,1.510370
7410.000,1.520726
7420.000,1.512702
7430.000,1.505750
7440.000,1.513808
7450.000,1.508843
7460.000,1.513241
7470.000,1.517529
7480.000,1.515516
7490.000,1.507259
7500.000,1.516424
7510.000,1.510887
7520.000,1.513404
7530.000,1.510557
7540.000,1.512152
7550.000,1.508883
7560.000,1.519396
7570.000,1.520276
7580.000,1.529852
7590.000,1.513306
7600.000,1.520198
7610.000,1.515713
7620.000,1.524010
