time_ps,rmsd_nm
0.0000000,0.0004982
10.0000000,0.0702940
20.0000000,0.0907012
30.0000000,0.0897800
40.0000000,0.0900557
50.0000000,0.1019007
60.0000000,0.1225508
70.0000000,0.1103279
80.0000000,0.0991157
90.0000000,0.0993930
100.0000000,0.0973978
110.0000000,0.1008206
120.0000000,0.1151629
130.0000000,0.1320360
140.0000000,0.1405092
150.0000000,0.1327450
160.0000000,0.1253879
170.0000000,0.1267280
180.0000000,0.1117797
190.0000000,0.1124768
200.0000000,0.1279751
210.0000000,0.1486219
220.0000000,0.1543386
230.0000000,0.1749800
240.0000000,0.1756541
250.0000000,0.1568933
260.0000000,0.1574174
270.0000000,0.1374300
280.0000000,0.1486906
290.0000000,0.1587460
300.0000000,0.1355212
310.0000000,0.1157358
320.0000000,0.1283050
330.0000000,0.1491353
340.0000000,0.1218294
350.0000000,0.1270816
360.0000000,0.1416352
370.0000000,0.1557586
380.0000000,0.1567649
390.0000000,0.1812093
400.0000000,0.1719988
410.0000000,0.1523938
420.0000000,0.1517393
430.0000000,0.1334245
440.0000000,0.1216053
450.0000000,0.1154576
460.0000000,0.1209166
470.0000000,0.1126688
480.0000000,0.1218122
490.0000000,0.1380785
500.0000000,0.1351114
510.0000000,0.1441462
520.0000000,0.1414387
530.0000000,0.1595448
540.0000000,0.1356777
550.0000000,0.1238988
560.0000000,0.0927531
570.0000000,0.0962691
580.0000000,0.1020087
590.0000000,0.1179003
600.0000000,0.1086318
610.0000000,0.1188142
620.0000000,0.1190118
630.0000000,0.1153401
640.0000000,0.1176275
650.0000000,0.1079290
660.0000000,0.1023876
670.0000000,0.1094618
680.0000000,0.1061198
690.0000000,0.1088161
700.0000000,0.0986885
710.0000000,0.1125215
720.0000000,0.1131818
730.0000000,0.1141134
740.0000000,0.1198641
750.0000000,0.1192583
760.0000000,0.1222930
770.0000000,0.1306723
780.0000000,0.1332908
790.0000000,0.1302688
800.0000000,0.1343550
810.0000000,0.1330094
820.0000000,0.1420788
830.0000000,0.1270393
840.0000000,0.1474479
850.0000000,0.1387740
860.0000000,0.1347041
870.0000000,0.1467011
880.0000000,0.1528622
890.0000000,0.1581398
900.0000000,0.1433491
910.0000000,0.1289287
920.0000000,0.1269127
930.0000000,0.1323643
940.0000000,0.1414320
950.0000000,0.1469297
960.0000000,0.1463906
970.0000000,0.1532064
980.0000000,0.1425440
990.0000000,0.1446299
1000.0000000,0.1323248
1010.0000000,0.1277910
1020.0000000,0.1377471
1030.0000000,0.1377273
1040.0000000,0.1309484
1050.0000000,0.1335712
1060.0000000,0.1461089
1070.0000000,0.1312640
1080.0000000,0.1299442
1090.0000000,0.1354982
1100.0000000,0.1324813
1110.0000000,0.1266699
1120.0000000,0.1314014
1130.0000000,0.1339221
1140.0000000,0.1365405
1150.0000000,0.1231950
1160.0000000,0.1393349
1170.0000000,0.1364575
1180.0000000,0.1325667
1190.0000000,0.1436165
1200.0000000,0.1459164
1210.0000000,0.1332713
1220.0000000,0.1442403
1230.0000000,0.1317665
1240.0000000,0.1409812
1250.0000000,0.1429082
1260.0000000,0.1340485
1270.0000000,0.1318387
1280.0000000,0.1268324
1290.0000000,0.1387679
1300.0000000,0.1343516
1310.0000000,0.1325027
1320.0000000,0.1260112
1330.0000000,0.1207724
1340.0000000,0.1267051
1350.0000000,0.1196920
1360.0000000,0.1172078
1370.0000000,0.1271880
1380.0000000,0.1248061
1390.0000000,0.1322677
1400.0000000,0.1356878
1410.0000000,0.1293648
1420.0000000,0.1200111
1430.0000000,0.1252836
1440.0000000,0.1166509
1450.0000000,0.1196336
1460.0000000,0.1284532
1470.0000000,0.1201175
1480.0000000,0.1213382
1490.0000000,0.1324202
1500.0000000,0.1328491
1510.0000000,0.1320399
1520.0000000,0.1103267
1530.0000000,0.1181660
1540.0000000,0.1407489
1550.0000000,0.1392758
1560.0000000,0.1271410
1570.0000000,0.1350634
1580.0000000,0.1290342
1590.0000000,0.1377564
1600.0000000,0.1404830
1610.0000000,0.1330585
1620.0000000,0.1326344
1630.0000000,0.1371495
1640.0000000,0.1486330
1650.0000000,0.1223947
1660.0000000,0.1216849
1670.0000000,0.1313083
1680.0000000,0.1347685
1690.0000000,0.1307463
1700.0000000,0.1357808
1710.0000000,0.1372414
1720.0000000,0.1332682
1730.0000000,0.1431376
1740.0000000,0.1344163
1750.0000000,0.1270941
1760.0000000,0.1381338
1770.0000000,0.1188046
1780.0000000,0.1129126
1790.0000000,0.1192534
1800.0000000,0.1424262
1810.0000000,0.1507891
1820.0000000,0.1305802
1830.0000000,0.1350974
1840.0000000,0.1474333
1850.0000000,0.1236245
1860.0000000,0.1212104
1870.0000000,0.1415909
1880.0000000,0.1370491
1890.0000000,0.1393275
1900.0000000,0.1307677
1910.0000000,0.1419312
1920.0000000,0.1350890
1930.0000000,0.1362541
1940.0000000,0.1357551
1950.0000000,0.1342025
1960.0000000,0.1417059
