time_ps,rmsd_nm
0.0000000,0.0004714
10.0000000,0.0537835
20.0000000,0.0649044
30.0000000,0.0772503
40.0000000,0.0821108
50.0000000,0.0778266
60.0000000,0.0999719
70.0000000,0.0898885
80.0000000,0.0926474
90.0000000,0.0819353
100.0000000,0.0850469
110.0000000,0.0739907
120.0000000,0.0961174
130.0000000,0.0949219
140.0000000,0.0772088
150.0000000,0.0854105
160.0000000,0.0690214
170.0000000,0.0979353
180.0000000,0.0930920
190.0000000,0.0639731
200.0000000,0.1268754
210.0000000,0.0932937
220.0000000,0.0901152
230.0000000,0.1211275
240.0000000,0.1049277
250.0000000,0.1277998
260.0000000,0.1358553
270.0000000,0.0982224
280.0000000,0.1053224
290.0000000,0.0932947
300.0000000,0.0781490
310.0000000,0.0883325
320.0000000,0.1001724
330.0000000,0.0955162
340.0000000,0.0877756
350.0000000,0.0965374
360.0000000,0.0909513
370.0000000,0.1031247
380.0000000,0.0944799
390.0000000,0.1112184
400.0000000,0.1108073
410.0000000,0.0962192
420.0000000,0.0971281
430.0000000,0.0998533
440.0000000,0.0838050
450.0000000,0.1003673
460.0000000,0.0765821
470.0000000,0.0775766
480.0000000,0.1101287
490.0000000,0.0906649
500.0000000,0.1056658
510.0000000,0.0952029
520.0000000,0.0844236
530.0000000,0.1024126
540.0000000,0.1047916
550.0000000,0.1017385
560.0000000,0.0791376
570.0000000,0.0905460
580.0000000,0.0992212
590.0000000,0.1017877
600.0000000,0.0990567
610.0000000,0.1123019
620.0000000,0.0920386
630.0000000,0.0768051
640.0000000,0.1190040
650.0000000,0.0844660
660.0000000,0.0917566
670.0000000,0.1386107
680.0000000,0.0986557
690.0000000,0.1157041
700.0000000,0.1035130
710.0000000,0.1398473
720.0000000,0.0936891
730.0000000,0.0780547
740.0000000,0.0838658
750.0000000,0.1086176
760.0000000,0.0956428
770.0000000,0.0856937
780.0000000,0.1112028
790.0000000,0.0870465
800.0000000,0.0726317
810.0000000,0.0866065
820.0000000,0.0868865
830.0000000,0.1118059
840.0000000,0.1294174
850.0000000,0.1369560
860.0000000,0.1345177
870.0000000,0.1346102
880.0000000,0.1411089
890.0000000,0.1275082
900.0000000,0.1247626
910.0000000,0.1312268
920.0000000,0.1213889
930.0000000,0.1137701
940.0000000,0.1164063
950.0000000,0.1216008
960.0000000,0.1331133
970.0000000,0.1348828
980.0000000,0.1112213
990.0000000,0.1014049
1000.0000000,0.0939290
1010.0000000,0.0750470
1020.0000000,0.0837985
1030.0000000,0.0935717
1040.0000000,0.0928490
1050.0000000,0.0882379
1060.0000000,0.0837816
1070.0000000,0.1102998
1080.0000000,0.0857093
1090.0000000,0.0972131
1100.0000000,0.0981326
1110.0000000,0.0857799
1120.0000000,0.0813982
1130.0000000,0.0831512
1140.0000000,0.0873430
1150.0000000,0.0851299
1160.0000000,0.0986083
1170.0000000,0.0940942
1180.0000000,0.0836369
1190.0000000,0.0940851
1200.0000000,0.1100093
1210.0000000,0.0914440
1220.0000000,0.0828137
1230.0000000,0.1079941
1240.0000000,0.1018393
1250.0000000,0.1210863
1260.0000000,0.0803124
1270.0000000,0.0891520
1280.0000000,0.1291940
1290.0000000,0.1467386
1300.0000000,0.0856671
1310.0000000,0.1235986
1320.0000000,0.1528805
1330.0000000,0.1511759
1340.0000000,0.1633519
1350.0000000,0.1010741
1360.0000000,0.1186516
1370.0000000,0.1154306
1380.0000000,0.1043404
1390.0000000,0.1189711
1400.0000000,0.1012135
1410.0000000,0.1035820
1420.0000000,0.0913419
1430.0000000,0.1245000
1440.0000000,0.1266390
1450.0000000,0.1215856
1460.0000000,0.1196123
1470.0000000,0.0949469
1480.0000000,0.1050960
1490.0000000,0.1022398
1500.0000000,0.1162953
1510.0000000,0.0790712
1520.0000000,0.0954489
1530.0000000,0.0836847
1540.0000000,0.0895090
1550.0000000,0.0748512
1560.0000000,0.0668630
1570.0000000,0.0777067
1580.0000000,0.0932980
1590.0000000,0.0785618
1600.0000000,0.0894963
1610.0000000,0.1057385
1620.0000000,0.0860779
1630.0000000,0.0854785
1640.0000000,0.1279139
1650.0000000,0.0738546
1660.0000000,0.0929767
1670.0000000,0.1119775
1680.0000000,0.0956430
1690.0000000,0.0795173
1700.0000000,0.0676199
1710.0000000,0.0703201
1720.0000000,0.0890260
1730.0000000,0.0932275
1740.0000000,0.0729446
1750.0000000,0.0958952
1760.0000000,0.0778798
1770.0000000,0.0745035
1780.0000000,0.0953033
1790.0000000,0.1087725
1800.0000000,0.0887747
1810.0000000,0.1359275
1820.0000000,0.0898653
1830.0000000,0.0950077
1840.0000000,0.1083560
1850.0000000,0.0802744
1860.0000000,0.0843414
1870.0000000,0.0831082
1880.0000000,0.0842426
1890.0000000,0.0728283
1900.0000000,0.0656417
1910.0000000,0.0703892
1920.0000000,0.0855496
1930.0000000,0.0775760
1940.0000000,0.0858090
1950.0000000,0.0847759
1960.0000000,0.1159900
1970.0000000,0.0907814
1980.0000000,0.0846772
1990.0000000,0.0694410
2000.0000000,0.0754030
2010.0000000,0.0737445
2020.0000000,0.0790502
2030.0000000,0.0807776
2040.0000000,0.0832730
2050.0000000,0.0690280
2060.0000000,0.0704030
2070.0000000,0.0863146
2080.0000000,0.0850626
2090.0000000,0.0907103
2100.0000000,0.0855617
2110.0000000,0.0830554
2120.0000000,0.0559889
2130.0000000,0.0726581
2140.0000000,0.0995162
2150.0000000,0.1020752
2160.0000000,0.0920804
2170.0000000,0.0966180
2180.0000000,0.0753917
2190.0000000,0.0794316
2200.0000000,0.0776397
2210.0000000,0.0733149
2220.0000000,0.1083312
2230.0000000,0.1074768
2240.0000000,0.0961534
2250.0000000,0.1043992
2260.0000000,0.0905901
2270.0000000,0.0771678
2280.0000000,0.1235956
2290.0000000,0.1171031
2300.0000000,0.1187925
2310.0000000,0.0861625
2320.0000000,0.0875017
2330.0000000,0.0754750
2340.0000000,0.1192009
2350.0000000,0.0797415
2360.0000000,0.0739255
2370.0000000,0.0707047
2380.0000000,0.0743624
2390.0000000,0.0852811
2400.0000000,0.0916180
2410.0000000,0.0827790
2420.0000000,0.0696297
2430.0000000,0.0714535
2440.0000000,0.0757020
2450.0000000,0.0793099
2460.0000000,0.0830844
2470.0000000,0.0634354
2480.0000000,0.0557357
2490.0000000,0.0589735
2500.0000000,0.0741166
2510.0000000,0.0698235
2520.0000000,0.0648752
2530.0000000,0.0652254
2540.0000000,0.0765278
2550.0000000,0.0859921
2560.0000000,0.0828059
2570.0000000,0.0980056
2580.0000000,0.0809903
2590.0000000,0.0814282
2600.0000000,0.0824978
2610.0000000,0.0803667
2620.0000000,0.0920537
2630.0000000,0.0766238
2640.0000000,0.0770573
2650.0000000,0.0881966
2660.0000000,0.0941092
2670.0000000,0.0974186
2680.0000000,0.1012732
2690.0000000,0.0875252
2700.0000000,0.1033675
2710.0000000,0.0837127
2720.0000000,0.0845902
2730.0000000,0.0911113
2740.0000000,0.0800952
2750.0000000,0.0890439
2760.0000000,0.0890212
2770.0000000,0.0970670
2780.0000000,0.0718360
2790.0000000,0.1008540
2800.0000000,0.0773282
2810.0000000,0.0963770
2820.0000000,0.0727866
2830.0000000,0.0796536
2840.0000000,0.0816801
2850.0000000,0.0863155
2860.0000000,0.0991239
2870.0000000,0.1009741
2880.0000000,0.0798429
2890.0000000,0.1030449
2900.0000000,0.0853833
2910.0000000,0.0714440
2920.0000000,0.0826436
2930.0000000,0.0728586
2940.0000000,0.0805807
2950.0000000,0.0912217
2960.0000000,0.0980971
2970.0000000,0.0666696
2980.0000000,0.0957584
2990.0000000,0.0752288
3000.0000000,0.0592157
3010.0000000,0.0738545
