time_ps,sasa_nm2
0.000,14.046
10.000,14.496
20.000,14.814
30.000,14.742
40.000,14.708
50.000,15.130
60.000,14.174
70.000,14.783
80.000,14.389
90.000,14.686
100.000,14.420
110.000,14.465
120.000,14.517
130.000,14.269
140.000,14.797
150.000,14.190
160.000,14.681
170.000,14.476
180.000,14.931
190.000,14.654
200.000,14.602
210.000,14.578
220.000,14.204
230.000,14.287
240.000,14.174
250.000,14.194
260.000,14.756
270.000,14.397
280.000,14.393
290.000,14.860
300.000,14.163
310.000,14.523
320.000,14.483
330.000,14.253
340.000,14.661
350.000,14.194
360.000,14.488
370.000,14.332
380.000,14.540
390.000,14.499
400.000,14.882
410.000,14.469
420.000,14.249
430.000,14.564
440.000,14.661
450.000,14.431
460.000,14.273
470.000,14.438
480.000,14.503
490.000,14.515
500.000,14.208
510.000,14.098
520.000,14.325
530.000,14.506
540.000,14.276
550.000,14.307
560.000,13.985
570.000,14.345
580.000,14.661
590.000,14.585
600.000,14.486
610.000,14.239
620.000,14.115
630.000,14.355
640.000,14.359
650.000,14.084
660.000,14.582
670.000,14.544
680.000,14.287
690.000,14.427
700.000,14.348
710.000,14.530
720.000,14.465
730.000,14.869
740.000,14.125
750.000,14.352
760.000,14.972
770.000,14.263
780.000,14.627
790.000,14.644
800.000,14.654
810.000,14.469
820.000,14.596
830.000,14.812
840.000,14.564
850.000,14.677
860.000,14.794
870.000,14.427
880.000,14.825
890.000,13.669
900.000,14.417
910.000,14.537
920.000,14.273
930.000,14.140
940.000,14.461
950.000,14.132
960.000,14.256
970.000,14.177
980.000,14.582
990.000,14.623
1000.000,14.839
1010.000,14.256
1020.000,14.654
1030.000,15.033
1040.000,14.393
1050.000,14.328
1060.000,14.325
1070.000,14.562
1080.000,14.506
1090.000,14.397
1100.000,14.359
1110.000,14.215
1120.000,14.362
1130.000,14.575
1140.000,14.607
1150.000,14.609
1160.000,14.341
1170.000,14.305
1180.000,14.503
1190.000,14.355
1200.000,14.774
1210.000,14.431
1220.000,14.609
1230.000,14.654
1240.000,14.585
1250.000,14.862
1260.000,14.461
1270.000,14.715
1280.000,14.019
1290.000,14.670
1300.000,14.181
1310.000,14.215
1320.000,14.600
1330.000,14.619
1340.000,14.337
1350.000,14.342
1360.000,14.235
1370.000,15.051
1380.000,14.291
1390.000,14.298
1400.000,14.372
1410.000,14.609
1420.000,14.303
1430.000,13.920
1440.000,14.181
1450.000,14.163
1460.000,14.602
1470.000,14.348
1480.000,14.249
1490.000,14.434
1500.000,14.513
1510.000,15.006
1520.000,14.643
1530.000,14.763
1540.000,14.287
1550.000,14.269
1560.000,14.681
1570.000,14.228
1580.000,14.174
1590.000,14.328
1600.000,14.188
1610.000,14.993
1620.000,14.454
1630.000,14.242
1640.000,14.787
1650.000,14.533
1660.000,14.132
1670.000,14.273
1680.000,14.222
1690.000,14.530
1700.000,14.318
1710.000,14.283
1720.000,14.469
1730.000,14.125
1740.000,14.914
1750.000,14.266
1760.000,14.420
1770.000,14.461
1780.000,14.496
1790.000,14.612
1800.000,14.368
1810.000,14.900
1820.000,14.632
1830.000,14.533
1840.000,14.496
1850.000,14.318
1860.000,14.393
1870.000,14.427
1880.000,13.803
1890.000,14.424
1900.000,14.632
1910.000,14.273
1920.000,14.708
1930.000,14.612
1940.000,14.742
1950.000,13.861
1960.000,14.136
1970.000,14.458
1980.000,14.372
1990.000,14.837
2000.000,14.159
2010.000,14.636
2020.000,14.310
2030.000,14.499
2040.000,14.447
2050.000,14.280
2060.000,14.605
2070.000,13.971
2080.000,14.016
2090.000,14.143
2100.000,14.763
2110.000,14.253
2120.000,14.258
2130.000,14.201
2140.000,14.627
2150.000,15.055
2160.000,14.382
2170.000,14.208
2180.000,14.190
2190.000,14.639
2200.000,14.550
2210.000,14.389
2220.000,14.375
2230.000,14.321
2240.000,14.465
2250.000,14.283
2260.000,14.441
2270.000,14.424
2280.000,13.917
2290.000,14.469
2300.000,14.208
2310.000,14.334
2320.000,14.197
2330.000,14.417
2340.000,14.359
2350.000,14.424
2360.000,14.431
2370.000,14.623
2380.000,14.318
2390.000,13.996
2400.000,14.634
2410.000,14.427
2420.000,14.447
2430.000,14.389
2440.000,14.393
2450.000,14.657
2460.000,14.499
2470.000,14.174
2480.000,14.409
2490.000,14.677
2500.000,14.046
2510.000,14.619
2520.000,14.478
2530.000,14.749
2540.000,14.767
2550.000,14.210
2560.000,14.386
2570.000,14.814
2580.000,14.318
2590.000,14.472
2600.000,14.794
2610.000,14.352
2620.000,14.177
2630.000,14.194
2640.000,14.152
2650.000,14.163
2660.000,14.454
2670.000,14.382
2680.000,14.537
2690.000,14.095
2700.000,14.159
2710.000,14.488
2720.000,14.434
2730.000,14.582
2740.000,14.325
2750.000,14.318
2760.000,14.404
2770.000,14.513
2780.000,14.355
2790.000,14.301
2800.000,14.979
2810.000,14.774
2820.000,14.156
2830.000,14.366
2840.000,13.985
2850.000,14.404
2860.000,14.454
2870.000,14.370
2880.000,15.191
2890.000,14.695
2900.000,14.632
2910.000,14.181
2920.000,14.291
2930.000,14.235
2940.000,14.249
2950.000,14.397
2960.000,14.718
2970.000,14.533
2980.000,14.328
2990.000,14.540
3000.000,14.355
3010.000,14.372
3020.000,14.794
3030.000,14.379
3040.000,14.537
3050.000,14.355
3060.000,14.167
3070.000,13.999
3080.000,14.650
3090.000,14.715
3100.000,14.156
3110.000,14.519
3120.000,14.420
3130.000,14.098
3140.000,14.722
3150.000,14.722
3160.000,14.708
3170.000,14.605
3180.000,14.030
3190.000,14.681
3200.000,14.647
3210.000,14.718
3220.000,14.197
3230.000,15.089
3240.000,14.575
3250.000,14.697
3260.000,14.434
3270.000,14.332
3280.000,14.321
3290.000,14.348
3300.000,14.657
3310.000,14.499
3320.000,14.122
3330.000,14.695
3340.000,14.688
3350.000,14.348
3360.000,14.154
3370.000,14.695
3380.000,14.859
3390.000,14.276
3400.000,14.262
3410.000,14.012
3420.000,13.981
3430.000,14.393
3440.000,14.931
3450.000,14.310
3460.000,14.485
3470.000,14.589
3480.000,13.676
3490.000,14.571
3500.000,14.508
3510.000,14.575
3520.000,14.159
3530.000,14.544
3540.000,14.774
3550.000,14.544
3560.000,14.603
3570.000,14.474
3580.000,14.318
3590.000,14.612
3600.000,15.020
3610.000,14.375
3620.000,14.510
3630.000,14.821
3640.000,15.134
3650.000,14.533
3660.000,14.763
3670.000,14.406
3680.000,14.681
3690.000,15.137
3700.000,14.753
3710.000,14.095
3720.000,14.684
3730.000,14.293
3740.000,14.835
3750.000,14.170
3760.000,15.119
3770.000,14.201
3780.000,14.303
3790.000,14.643
3800.000,14.159
3810.000,14.523
3820.000,14.341
3830.000,14.221
3840.000,15.137
3850.000,14.221
3860.000,14.663
3870.000,14.194
3880.000,14.684
3890.000,15.109
3900.000,14.348
3910.000,14.729
3920.000,14.330
3930.000,14.440
3940.000,14.476
3950.000,14.341
3960.000,14.575
3970.000,14.954
3980.000,14.393
3990.000,14.952
4000.000,14.222
4010.000,14.325
4020.000,13.954
4030.000,14.242
4040.000,14.276
4050.000,14.454
4060.000,14.420
4070.000,14.537
4080.000,14.684
4090.000,14.659
4100.000,14.471
4110.000,14.526
4120.000,14.098
4130.000,14.283
4140.000,14.228
4150.000,14.118
4160.000,14.197
4170.000,14.204
4180.000,13.985
4190.000,14.246
4200.000,14.341
4210.000,14.129
4220.000,14.419
4230.000,14.540
4240.000,14.567
4250.000,14.362
4260.000,14.627
4270.000,14.246
4280.000,14.208
4290.000,14.362
4300.000,14.201
4310.000,14.510
4320.000,14.219
4330.000,14.372
4340.000,14.756
4350.000,14.019
4360.000,14.222
4370.000,14.478
4380.000,14.540
4390.000,13.906
4400.000,14.424
4410.000,14.585
4420.000,14.540
4430.000,14.184
4440.000,14.523
4450.000,14.931
4460.000,14.461
4470.000,13.581
4480.000,14.122
4490.000,14.026
4500.000,14.256
4510.000,14.447
4520.000,14.085
4530.000,14.242
4540.000,14.526
4550.000,14.400
4560.000,13.981
4570.000,14.472
4580.000,14.084
4590.000,14.389
4600.000,14.136
4610.000,14.397
4620.000,14.571
4630.000,14.204
4640.000,14.332
4650.000,14.219
4660.000,14.404
4670.000,14.465
4680.000,14.276
4690.000,14.095
4700.000,14.355
4710.000,14.187
4720.000,14.321
4730.000,14.465
4740.000,14.469
4750.000,14.625
4760.000,14.280
4770.000,14.571
4780.000,14.239
4790.000,14.019
4800.000,14.235
4810.000,14.211
4820.000,14.496
4830.000,14.352
4840.000,14.291
4850.000,14.105
4860.000,14.325
4870.000,14.174
4880.000,14.729
4890.000,14.242
4900.000,14.389
4910.000,14.204
4920.000,14.235
4930.000,14.397
4940.000,14.427
4950.000,14.469
4960.000,14.729
4970.000,14.492
4980.000,14.321
4990.000,14.496
5000.000,14.177
5010.000,14.797
5020.000,14.382
5030.000,15.089
5040.000,15.236
5050.000,15.134
5060.000,15.106
5070.000,15.137
5080.000,14.880
5090.000,15.353
5100.000,14.372
5110.000,14.995
5120.000,15.089
5130.000,15.069
5140.000,15.482
5150.000,15.387
5160.000,14.417
5170.000,15.033
5180.000,14.825
5190.000,14.900
5200.000,15.304
5210.000,15.267
5220.000,15.044
5230.000,14.602
5240.000,15.044
5250.000,14.496
5260.000,14.389
5270.000,14.961
5280.000,15.195
5290.000,14.722
5300.000,14.544
5310.000,14.975
5320.000,14.790
5330.000,14.821
5340.000,14.632
5350.000,14.201
5360.000,14.639
5370.000,14.965
5380.000,14.849
5390.000,15.078
5400.000,14.567
5410.000,15.403
5420.000,14.852
5430.000,14.523
5440.000,14.776
5450.000,14.030
5460.000,14.503
5470.000,14.708
5480.000,15.153
5490.000,14.188
5500.000,14.684
5510.000,15.020
5520.000,14.181
5530.000,14.575
5540.000,14.778
5550.000,14.578
5560.000,14.386
5570.000,14.231
5580.000,14.770
5590.000,15.116
5600.000,14.736
5610.000,14.517
5620.000,14.431
5630.000,14.496
5640.000,14.605
5650.000,14.808
5660.000,14.382
5670.000,14.140
5680.000,14.711
5690.000,14.548
5700.000,14.379
5710.000,14.523
5720.000,14.427
5730.000,14.283
5740.000,14.575
5750.000,14.355
